Mã,Loai,Thuc te,Du doan,Chinh xac
C2014-02.csv,1 -> 25,190266.49902343808,192375.52541917298,98.89154086160218
C2014-02.csv,50,190266.49902343808,241239.4912210144,73.20968617218463
C2014-02.csv,1 -> 50,190266.49902343808,209337.59783632334,89.97663860386899
-----,------,------,------,------
C2016-20.csv,tat ca,53783.280151367195,160939.17327091936,0
C2016-20.csv,25,53783.280151367195,151597.57266771793,0
C2016-20.csv,1 -> 25,53783.280151367195,141052.5051434189,0
C2016-20.csv,50,53783.280151367195,165302.2339254059,0
C2016-20.csv,1 -> 50,53783.280151367195,146325.03890556842,0
-----,------,------,------,------
C2016-18.csv,tat ca,60829.51953125,166034.60473634303,0
C2016-18.csv,25,60829.51953125,155365.20518013835,0
C2016-18.csv,1 -> 25,60829.51953125,142314.08653350174,0
C2016-18.csv,50,60829.51953125,171679.9677572213,0
C2016-18.csv,1 -> 50,60829.51953125,148839.64585682005,0
-----,------,------,------,------
Sheet21.csv,tat ca,224789.6707,335187.2145249583,50.888515703956536
Sheet21.csv,25,224789.6707,261496.8850797303,83.6704176551248
Sheet21.csv,1 -> 25,224789.6707,158565.45010712743,70.539473461281
Sheet21.csv,50,224789.6707,351295.11148975044,43.722751852516296
Sheet21.csv,1 -> 50,224789.6707,210031.16759342887,93.4345279030781
-----,------,------,------,------
C2013-09.csv,tat ca,1696971.78688812,1557432.4767654135,91.77715792325625
C2013-09.csv,25,1696971.78688812,826293.0045624711,48.692206372960044
C2013-09.csv,1 -> 25,1696971.78688812,605169.041682316,35.661703179642444
C2013-09.csv,50,1696971.78688812,1587723.332510069,93.56215258131138
C2013-09.csv,1 -> 50,1696971.78688812,891964.9598662041,52.56215611585831
